개방자치단체코드,관리번호,시도명,시군구명,관리구역명,관리구역대상지역명,배출장소유형,배출장소,생활쓰레기배출방법,음식물쓰레기배출방법,재활용품배출방법,일시적다량폐기물배출방법,일시적다량폐기물배출장소,생활쓰레기배출요일,음식물쓰레기배출요일,재활용품배출요일,생활쓰레기배출시작시각,생활쓰레기배출종료시각,음식물쓰레기배출시작시각,음식물쓰레기배출종료시각,재활용품배출시작시각,재활용품배출종료시각,일시적다량폐기물배출시작시각,일시적다량폐기물배출종료시각,미수거일,관리부서명,관리부서전화번호,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
4030000,202440300000400350,경기도,의왕시,의왕시,동부시장길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+수+금,기타,기타,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-09-04 15:35:17
4030000,202440300000400317,경기도,의왕시,의왕시,백운호수로6길,문전수거,문앞,종량제봉투에 담아 묶어서 배출,음식물종량제봉투에 담아 묶어서 배출,투명비닐 또는 마대에 담아 묶어서 배출,종량제봉투에 담아 묶어서 배출,문전수거,월+수+금,화+금,월+수+금,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:55
4030000,202440300000400173,경기도,의왕시,의왕시,금천말길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+화+목+토,월+수+금,월+수+금,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:54
4030000,202440300000400051,경기도,의왕시,의왕시,오매기중간길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,화,목,수,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:54
4030000,202440300000400065,경기도,의왕시,의왕시,찬우물길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+수+금,화+목+토,월+화+수+목+금+토,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:54
4030000,202440300000400286,경기도,의왕시,의왕시,한직골남로,문전수거,문앞,종량제봉투에 담아 묶어서 배출,음식물종량제봉투에 담아 묶어서 배출,투명비닐 또는 마대에 담아 묶어서 배출,종량제봉투에 담아 묶어서 배출,문전수거,월+수+금,화+토,월+수+금,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:55
4030000,202440300000400056,경기도,의왕시,의왕시,전주남이1길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+수+금,화+목+토,월+수+금,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:54
4030000,202440300000400158,경기도,의왕시,의왕시,부곡공원길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,화+목+토,화+목+토,화+목+토,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:54
4030000,202440300000400237,경기도,의왕시,의왕시,내손중앙3길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+수+금,월+수+금,월+수+금,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:55
4030000,202440300000400327,경기도,의왕시,의왕시,고산로105번길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,기타,월+금,월+수+금,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-09-04 15:35:17
4030000,202440300000400219,경기도,의왕시,의왕시,내손중앙로,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+화+수+목+금+토,화+목+토,월+수+금+토,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:55
4030000,202440300000400089,경기도,의왕시,의왕시,부곡복지관길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+수+금,월+수+금,월+수+금,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:54
4030000,202440300000400260,경기도,의왕시,의왕시,인덕원IT밸리,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+화+수+목+금+토,화+목,월+화+수+목+금,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:55
4030000,202440300000400263,경기도,의왕시,의왕시,의왕어린이집                                         (안양판교로137),문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+화+수+목+금+토,화+목+토,월+화+수+목+금+토,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:55
4030000,202440300000400281,경기도,의왕시,의왕시,양지편1로,문전수거,문앞,종량제봉투에 담아 묶어서 배출,음식물종량제봉투에 담아 묶어서 배출,투명비닐 또는 마대에 담아 묶어서 배출,종량제봉투에 담아 묶어서 배출,문전수거,월+수+금,월+금,월+수+금,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:55
4030000,202440300000400096,경기도,의왕시,의왕시,부곡중앙남1길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+수+금,월+수+금,월+수+금,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:54
4030000,202440300000400115,경기도,의왕시,의왕시,부곡초등2길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+수+금,월+수+금,월+수+금,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:54
4030000,202440300000400064,경기도,의왕시,의왕시,찬우물4길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+수+금,화+목+토,월+화+수+목+금+토,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:54
4030000,202440300000400038,경기도,의왕시,의왕시,모란길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+수+금,월+수+금,월+수+금,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:54
4030000,202440300000400313,경기도,의왕시,의왕시,백운중앙로3길,문전수거,문앞,종량제봉투에 담아 묶어서 배출,음식물종량제봉투에 담아 묶어서 배출,투명비닐 또는 마대에 담아 묶어서 배출,종량제봉투에 담아 묶어서 배출,문전수거,월+수+금,화+금,화,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:55
4030000,202440300000400213,경기도,의왕시,의왕시,포일로,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+화+수+목+금+토,월+수+금,월+화+수+목+금+토,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:55
4030000,202440300000400153,경기도,의왕시,의왕시,철도박물관로,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,화+목+토,화+목+토,화+목+토,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:54
4030000,202440300000400087,경기도,의왕시,의왕시,까치골길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+수+금,월+수+금,월+수+금,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:54
4030000,202440300000400227,경기도,의왕시,의왕시,봇들1로,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+화+수+목+금+토,월+수+금,월+화+수+목+금+토,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:55
4030000,202440300000400010,경기도,의왕시,의왕시,오봉로,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+수+금,월+금,월+수+금,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:54
4030000,202440300000400007,경기도,의왕시,의왕시,문화공원로,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,화+목+토,화+목+토,화,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:54
4030000,202440300000400308,경기도,의왕시,의왕시,백운안4길,문전수거,문앞,종량제봉투에 담아 묶어서 배출,음식물종량제봉투에 담아 묶어서 배출,투명비닐 또는 마대에 담아 묶어서 배출,종량제봉투에 담아 묶어서 배출,문전수거,월+수+금,화+금,월+수+금,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:55
4030000,202440300000400011,경기도,의왕시,의왕시,오전로,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+화+수+목+금+토,화+목+토,월+화+수+목+금+토,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:54
4030000,202440300000400184,경기도,의왕시,의왕시,왕송못서길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,화+목+토,화+목+토,화+목+토,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:55
4030000,202440300000400092,경기도,의왕시,의왕시,부곡시장3길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+수+금,월+수+금,월+수+금,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:54
4030000,202440300000400150,경기도,의왕시,의왕시,현충탑길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+수+금,화+목+토,화+목+토,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:54
4030000,202440300000400205,경기도,의왕시,의왕시,민백2길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+수+금,월+수+금,월+화+수+목+금+토,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:55
4030000,202440300000400135,경기도,의왕시,의왕시,오전로,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+수+금,화+목+토,월+수+금,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:54
4030000,202440300000400151,경기도,의왕시,의왕시,홍치골길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,화+목+토,목,화+목+토,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:54
4030000,202440300000400259,경기도,의왕시,의왕시,포일어울림센터,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,화+금,목,화+금,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:55
4030000,202440300000400206,경기도,의왕시,의왕시,민백길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+수+금,월+수+금,월+화+수+목+금+토,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:55
4030000,202440300000400110,경기도,의왕시,의왕시,부곡중앙북7길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+수+금,화+목+토,월+수+금,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:54
4030000,202440300000400348,경기도,의왕시,의왕시,동부시장5길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+수+금,기타,기타,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-09-04 15:35:17
4030000,202440300000400236,경기도,의왕시,의왕시,내손중앙2길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+수+금,월+수+금,월+수+금,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:55
4030000,202440300000400301,경기도,의왕시,의왕시,원터윗길,문전수거,문앞,종량제봉투에 담아 묶어서 배출,음식물종량제봉투에 담아 묶어서 배출,투명비닐 또는 마대에 담아 묶어서 배출,종량제봉투에 담아 묶어서 배출,문전수거,월+수+금,월+수+금,월+수+금,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:55
4030000,202440300000400137,경기도,의왕시,의왕시,위인로,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+수+금,월+수+금,월+수+금,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:54
4030000,202440300000400256,경기도,의왕시,의왕시,봇들3길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+화+수+목+금+토,월+수+금,월+화+수+목+금+토,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:55
4030000,202440300000400046,경기도,의왕시,의왕시,사나골길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,화,목,화,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:54
4030000,202440300000400261,경기도,의왕시,의왕시,에이스청계타워,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+화+수+목+금+토,화+목+토,화+목+토,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:55
4030000,202440300000400223,경기도,의왕시,의왕시,포일세거리로,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+수+금,월+화+수+목+금+토,월+화+수+목+금+토,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:55
4030000,202440300000400095,경기도,의왕시,의왕시,부곡시장길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,화+목+토,월+수+금,월+수+금,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:54
4030000,202440300000400307,경기도,의왕시,의왕시,백운안3길,문전수거,문앞,종량제봉투에 담아 묶어서 배출,음식물종량제봉투에 담아 묶어서 배출,투명비닐 또는 마대에 담아 묶어서 배출,종량제봉투에 담아 묶어서 배출,문전수거,월+수+금,화+금,월+수+금,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:55
4030000,202440300000400161,경기도,의왕시,의왕시,월암길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,화+목+토,화+목+토,화+목+토,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:54
4030000,202440300000400331,경기도,의왕시,의왕시,어내들2길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,기타,기타,기타,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-09-04 15:35:17
4030000,202440300000400270,경기도,의왕시,의왕시,보우상가,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+화+수+목+금+토,월+화+수+목+금+토,월+화+수+목+금+토,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:55
4030000,202440300000400148,경기도,의왕시,의왕시,통미마을길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+수+금,월,월+수+금,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:54
4030000,202440300000400167,경기도,의왕시,의왕시,이당로,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,화+목+토,목,수,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:54
4030000,202440300000400042,경기도,의왕시,의왕시,사그내3길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,화+목+토,화+목+토,월+수+금,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:54
4030000,202440300000400322,경기도,의왕시,의왕시,백운안길,문전수거,문앞,종량제봉투에 담아 묶어서 배출,음식물종량제봉투에 담아 묶어서 배출,투명비닐 또는 마대에 담아 묶어서 배출,종량제봉투에 담아 묶어서 배출,문전수거,월+수+금,화+금,월+수+금,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:55
4030000,202440300000400188,경기도,의왕시,의왕시,천왕골길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,화+목,목,목,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:55
4030000,202440300000400337,경기도,의왕시,의왕시,광진말길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,기타,기타,기타,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-09-04 15:35:17
4030000,202440300000400214,경기도,의왕시,의왕시,학의로,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+화+수+목+금+토,월+수+금,화+목+토,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:55
4030000,202440300000400140,경기도,의왕시,의왕시,대안사길(대안사),문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,화+목+토,월,화+목+토,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:54
4030000,202440300000400077,경기도,의왕시,의왕시,철도박물관로,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+수+금,월+수+금,수+금,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:54
4030000,202440300000400108,경기도,의왕시,의왕시,부곡중앙북5길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+수+금,화+목+토,월+수+금,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:54
4030000,202440300000400138,경기도,의왕시,의왕시,고고리길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+수+금,월,월+수+금,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:54
4030000,202440300000400229,경기도,의왕시,의왕시,평의길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+화+수+목+금+토,월+수+금,금,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:55
4030000,202440300000400296,경기도,의왕시,의왕시,새터말길,문전수거,문앞,종량제봉투에 담아 묶어서 배출,음식물종량제봉투에 담아 묶어서 배출,투명비닐 또는 마대에 담아 묶어서 배출,종량제봉투에 담아 묶어서 배출,문전수거,월+수+금,월+수+금,월+수+금,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:55
4030000,202440300000400197,경기도,의왕시,의왕시,갈미3로,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+화+수+목+금+토,월+수+금,월+화+수+목+금+토,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:55
4030000,202440300000400220,경기도,의왕시,의왕시,백운로,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+화+수+목+금+토,월+화+수+목+금+토,월+화+수+목+금+토,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:55
4030000,202440300000400029,경기도,의왕시,의왕시,등칙골1길,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,월+수+금,화+목+토,월+수+금,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-07-19 15:38:54
4030000,202440300000400338,경기도,의왕시,의왕시,포일자이1단지 정문상가,문전수거,문앞,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,기타,화,월+수+금,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,명절,자원관리과,031-345-2842,2024-06-30,I,2025-12-15 16:20:32,2024-09-04 15:35:17
